,ano,nome_regiao,nome_uf,label_cor,label_sexo,ivs_renda_e_trabalho,idhm,prosp_soc,t_analf_15m,t_desocup18m,t_p18m_fundin_informal,espvida,renda_per_capita,mchefe_fmenor,vulner_dia,pea15a17,t_scarteira_18m,t_setorpublico_18m,t_contapropria_18m,t_empregador_18m,t_formal_18m
0,2018,CENTRO-OESTE,Distrito Federal,Branco,Mulher,0.173,0.884,Muito Alto,1.7,9.91,14.15,79.92,1942.46,47806.0,9098.0,4402.0,18.61,32.31,13.57,3.52,73.59
1,2019,CENTRO-OESTE,Distrito Federal,Branco,Mulher,0.173,0.906,Muito Alto,2.18,11.36,10.64,81.55,2159.85,50999.0,7071.0,7412.0,16.58,26.47,16.29,4.44,70.3
2,2020,CENTRO-OESTE,Distrito Federal,Branco,Mulher,0.165,0.874,Muito Alto,1.88,10.19,11.44,77.95,1889.47,56934.0,10047.0,3630.0,15.61,26.87,16.76,6.35,72.54
3,2021,CENTRO-OESTE,Distrito Federal,Branco,Mulher,0.174,0.876,Muito Alto,1.75,11.2,9.89,78.63,1779.42,46110.0,12427.0,1247.0,18.09,28.87,16.22,4.2,72.48
4,2022,CENTRO-OESTE,Distrito Federal,Branco,Mulher,0.147,0.912,Muito Alto,1.4,9.34,9.25,81.41,2078.16,63351.0,9616.0,4628.0,19.44,26.96,15.21,4.89,71.51
5,2018,CENTRO-OESTE,Goiás,Branco,Mulher,0.197,0.821,Muito Alto,4.1,8.4,24.85,77.18,1022.56,79407.0,30679.0,12690.0,24.59,20.56,20.73,5.54,63.75
6,2019,CENTRO-OESTE,Goiás,Branco,Mulher,0.198,0.824,Muito Alto,3.95,8.37,26.16,77.56,936.76,97919.0,26842.0,10111.0,20.8,21.9,19.77,5.4,66.52
7,2020,CENTRO-OESTE,Goiás,Branco,Mulher,0.232,0.808,Muito Alto,2.91,11.46,22.27,75.56,819.47,97571.0,19393.0,7955.0,21.01,21.15,18.9,4.79,67.43
8,2021,CENTRO-OESTE,Goiás,Branco,Mulher,0.232,0.801,Muito Alto,3.52,10.68,23.23,75.37,857.37,115727.0,31081.0,8473.0,20.17,18.26,25.88,4.92,64.61
9,2022,CENTRO-OESTE,Goiás,Branco,Mulher,0.14,0.849,Muito Alto,2.92,5.61,19.57,78.08,1173.78,108906.0,19014.0,14133.0,21.46,19.34,25.01,5.4,65.71
10,2018,CENTRO-OESTE,Mato Grosso,Branco,Mulher,0.192,0.817,Muito Alto,3.8,6.87,26.15,77.3,1024.84,51534.0,12107.0,6321.0,21.65,21.96,15.23,5.99,64.11
11,2019,CENTRO-OESTE,Mato Grosso,Branco,Mulher,0.145,0.828,Muito Alto,4.43,4.33,26.2,77.39,1098.91,46880.0,8812.0,5188.0,20.87,20.23,21.24,6.06,68.95
12,2020,CENTRO-OESTE,Mato Grosso,Branco,Mulher,0.191,0.828,Muito Alto,3.4,8.52,20.19,76.41,1136.48,60929.0,9087.0,7549.0,20.9,20.55,19.81,7.35,68.19
13,2021,CENTRO-OESTE,Mato Grosso,Branco,Mulher,0.199,0.792,Muito Alto,2.83,8.92,21.82,75.19,878.21,57692.0,10592.0,4658.0,20.37,19.78,18.94,4.59,68.16
